goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go
cpu: Apple M3 Pro
BenchmarkCallable/operation=call_ref-12     	       5	      3583 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2942 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3567 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3400 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2867 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3158 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2875 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3750 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2983 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3475 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3167 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2900 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2750 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3175 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3342 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3308 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3392 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3517 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3475 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2825 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2875 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3500 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2842 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3583 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3392 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3533 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2825 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2858 ns/op	     768 B/op	      10 allocs/op
